predicted,truth
2.6524444444444457,3.72
2.6479999999999975,2.36666666666667
3.7337222222222213,3.84
4.121555555555554,4.0
3.1556111111111114,3.0
2.584944444444443,2.8
3.998049999999998,4.43333333333333
4.077833333333326,4.08
3.190833333333337,1.8
3.4211666666666667,4.12
3.9570555555555535,3.92
3.4222777777777775,2.8
3.819688888888891,2.24
3.562444444444443,3.8
3.886888888888893,4.28
2.92744444444445,3.04
4.31938888888889,4.36
2.8857777777777796,2.84
3.6161111111111106,4.68
4.1833333333333345,4.7
2.7193055555555565,2.72
2.396888888888889,2.2
2.526611111111111,2.68
2.8938333333333373,2.96
2.952388888888889,2.96
3.0946666666666656,3.64
2.6075555555555567,1.56
3.8057777777777795,4.48
4.001888888888891,4.64
2.9959444444444396,3.12
2.5299722222222214,1.8
2.8491666666666684,2.52
3.6881666666666675,3.84
3.0936111111111146,3.04
2.7789999999999995,3.48
3.1862777777777778,2.56
4.371333333333334,3.84
3.206611111111114,2.9
3.4426666666666668,2.76
3.3981111111111084,3.2
2.199773809523811,2.08
3.047833333333334,2.16
3.5271111111111098,3.28
3.3187777777777816,3.56
3.966533333333337,4.08
3.4708333333333323,3.44
2.905944444444445,2.96
3.4680555555555506,3.44
3.055999999999999,1.56
3.340972222222222,2.4
3.140333333333333,4.2
3.946944444444443,2.88
3.400055555555555,2.88
3.4826111111111104,4.26666666666667
2.9720277777777784,2.6
4.0359444444444454,3.88
3.6510000000000002,4.16
3.9332777777777794,4.3
3.3096666666666663,3.6
3.3201666666666654,3.72
3.2523777777777787,3.04
3.8846666666666696,4.72
3.0033333333333347,2.8
4.709166666666662,4.92
4.238111111111113,4.68
4.037111111111111,4.04
4.1721111111111115,4.4
4.080611111111108,4.24
3.1965555555555576,3.8
2.8343333333333334,3.7
3.4566111111111133,1.64
3.623722222222221,4.32
2.9407777777777793,2.04
4.667305555555549,4.76
3.625444444444445,3.24
2.9807222222222234,2.4
3.59838888888889,4.16
3.8184444444444425,3.2
3.8315555555555556,1.0
4.217611111111113,4.56
3.48894444444444,3.36
3.8501666666666683,4.16
3.6036666666666664,4.32
3.2478333333333342,4.23333333333333
2.909988888888888,2.08
3.596833333333337,4.08
2.806138888888887,2.52
3.707555555555554,3.86666666666667
3.887611111111108,4.8
3.924388888888889,4.44
3.163583333333336,2.84
4.440055555555557,4.06666666666667
3.8993333333333338,4.12
2.5477777777777773,2.76
3.039611111111112,3.56
3.1593333333333358,3.36
4.160277777777777,4.08
4.0039444444444365,4.28
2.619277777777779,3.4
4.331388888888894,4.23333333333333
3.551611111111116,3.2
3.0988333333333338,3.3333333333333304
3.235555555555558,4.36666666666667
2.184777777777778,1.12
4.410527777777773,4.4
3.5968944444444464,3.56666666666667
4.023388888888885,4.36
3.0283333333333333,4.04
3.450777777777776,2.24
2.9521111111111105,1.92
2.741055555555557,1.6
4.14111111111111,4.44
2.909499999999997,3.04
3.3038888888888875,1.68
3.1289444444444445,4.12
4.233166666666673,4.24
3.3099444444444446,2.36666666666667
3.946722222222225,4.12
3.9702222222222248,3.9
3.2746111111111107,3.4
4.127222222222221,3.56
3.3600277777777805,4.43333333333333
4.216333333333334,4.76
4.412944444444437,4.56
3.082194444444443,3.46666666666667
3.063055555555556,2.48
3.847250000000002,4.08
2.9414444444444454,3.96
4.419888888888882,4.56
3.2104444444444455,3.0
